modulation,rrc,fading,fec,sincronizacion,doppler_residual_hz,snr_db,bits_evaluados,errores_bit,ber,ancho_banda_hz,ax25_frames_validos
BPSK,False,True,False,Costas+Gardner,0.2,2,18775,160,0.008521970705725699,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.2,4,18775,32,0.0017043941411451398,66112.5,0
BPSK,True,True,False,Costas+Gardner,0.2,-10,18776,9029,0.48087984661269706,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,-8,18776,11786,0.6277162334895612,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,-6,18776,11975,0.6377822752449936,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,-4,18776,299,0.015924584576054536,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,-2,18776,86,0.004580315296122709,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,0,18776,16,0.0008521516829995739,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,2,18776,8719,0.4643694077545803,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.2,4,18776,1,5.325948018747337e-05,11175.0,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,-10,18776,9271,0.4937686408180656,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,-8,18776,9244,0.4923306348530038,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,-6,18776,8290,0.44152109075415424,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,-4,18776,1098,0.05847890924584576,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,-2,18776,29,0.0015445249254367277,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,0,18776,0,0.0,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,2,18776,0,0.0,65962.5,0
BPSK+FEC,False,False,True,Costas+Gardner,0.0,4,18776,0,0.0,65962.5,0
AX.25,True,False,False,Costas+Gardner,0.0,-10,24696,11634,0.4710884353741497,11212.5,0
AX.25,True,False,False,Costas+Gardner,0.0,-8,24696,15663,0.6342322643343051,11212.5,0
AX.25,True,False,False,Costas+Gardner,0.0,-6,24696,623,0.02522675736961451,11212.5,0
AX.25,True,False,False,Costas+Gardner,0.0,-4,24696,160,0.00647878198898607,11212.5,0
AX.25,True,False,False,Costas+Gardner,0.0,-2,24696,28,0.0011337868480725624,11212.5,17
AX.25,True,False,False,Costas+Gardner,0.0,0,24696,0,0.0,11212.5,37
AX.25,True,False,False,Costas+Gardner,0.0,2,24696,0,0.0,11212.5,37
AX.25,True,False,False,Costas+Gardner,0.0,4,24696,0,0.0,11212.5,37
