observation_id,frame_number,telemetry_hex,timestamp,byte_count
13495444,0,SIN_TELEMETRIA,,0
13491737,0,SIN_TELEMETRIA,,0
13476445,0,SIN_TELEMETRIA,,0
13449054,0,SIN_TELEMETRIA,,0
13444398,1,2050372CB89A3CF7564D59D5E15062C76ED7C361441F880D92,2026-02-21T03:28:24Z,25
13444398,2,804CED75212397F8E98547DB35B13AEE1CE04D8C27,2026-02-21T03:21:40Z,21
13423322,0,SIN_TELEMETRIA,,0
13423321,0,SIN_TELEMETRIA,,0
13423320,1,8069CFB02DF266B14722E90D18D5D2911715D8AA20,2026-02-19T02:59:38Z,21
13423319,1,D4,2026-02-18T19:02:54Z,1
13423319,2,9AAB,2026-02-18T18:55:43Z,2
13423319,3,00F593,2026-02-18T18:51:40Z,3
13423318,0,SIN_TELEMETRIA,,0
13423317,1,AE9F6F4F9D5AE0AC9AEB55C5EA,2026-02-18T05:10:20Z,13
13423316,0,SIN_TELEMETRIA,,0
13411079,1,3CD98E62C0DD519A,2026-02-17T19:35:31Z,8
13423315,0,SIN_TELEMETRIA,,0
13411078,0,SIN_TELEMETRIA,,0
13423314,1,E0584171,2026-02-17T17:47:19Z,4
13411077,0,SIN_TELEMETRIA,,0
13411076,0,SIN_TELEMETRIA,,0
13411075,0,SIN_TELEMETRIA,,0
13411074,0,SIN_TELEMETRIA,,0
13399387,0,SIN_TELEMETRIA,,0
13399386,1,70185D1CBC32A20FE98204AADE,2026-02-16T04:42:27Z,13
13399385,1,B2EF64769EEE79030ED8944BAD466291AC9DB0EBDF36,2026-02-15T19:09:27Z,22
13399385,2,38,2026-02-15T19:06:07Z,1
13399384,0,SIN_TELEMETRIA,,0
13407957,0,SIN_TELEMETRIA,,0
13409015,0,SIN_TELEMETRIA,,0
13399383,0,SIN_TELEMETRIA,,0
13399382,1,C0B291579362203D556951E12413B618771E148527C8F13766D4CA3B50711DAE09CB57A9716C198C,2026-02-14T18:05:49Z,40
13401193,0,SIN_TELEMETRIA,,0
13394926,1,BDAD28FC8984E46E0D4571233341E0474DB0DE3B,2026-02-14T04:16:14Z,20
13394926,2,008B7E76B577C7B6,2026-02-14T04:14:46Z,8
13394926,3,A002A711C0,2026-02-14T04:13:46Z,5
13388569,0,SIN_TELEMETRIA,,0
13388385,0,SIN_TELEMETRIA,,0
13379942,0,SIN_TELEMETRIA,,0
13380207,0,SIN_TELEMETRIA,,0
13379923,0,SIN_TELEMETRIA,,0
13367346,0,SIN_TELEMETRIA,,0
13367069,0,SIN_TELEMETRIA,,0
13361355,0,SIN_TELEMETRIA,,0
13357265,0,SIN_TELEMETRIA,,0
13334091,0,SIN_TELEMETRIA,,0
13334090,0,SIN_TELEMETRIA,,0
13334089,0,SIN_TELEMETRIA,,0
13334088,1,20139B34D06C52E1C07220E30EDD402E1C1CDA875B,2026-02-05T16:52:51Z,21
13334087,0,SIN_TELEMETRIA,,0
13334086,0,SIN_TELEMETRIA,,0
13329628,0,SIN_TELEMETRIA,,0
13334085,0,SIN_TELEMETRIA,,0
13334084,1,2040C741754B8088,2026-02-04T17:26:36Z,8
13331313,1,B4986DCAF5868BAD27CE1301EA4DDD4E55803428EA11E2DAEE45ADAEA87754,2026-02-04T05:24:07Z,31
13295235,0,SIN_TELEMETRIA,,0
13292157,0,SIN_TELEMETRIA,,0
13285139,0,SIN_TELEMETRIA,,0
13283806,1,40A4,2026-01-26T17:53:16Z,2
13279414,0,SIN_TELEMETRIA,,0
13279341,0,SIN_TELEMETRIA,,0
13274164,0,SIN_TELEMETRIA,,0
13278146,0,SIN_TELEMETRIA,,0
13275126,0,SIN_TELEMETRIA,,0
13249528,0,SIN_TELEMETRIA,,0
13249376,0,SIN_TELEMETRIA,,0
13249515,0,SIN_TELEMETRIA,,0
13235300,0,SIN_TELEMETRIA,,0
13230177,0,SIN_TELEMETRIA,,0
13229724,0,SIN_TELEMETRIA,,0
13230160,0,SIN_TELEMETRIA,,0
13214294,0,SIN_TELEMETRIA,,0
13207038,0,SIN_TELEMETRIA,,0
13187902,0,SIN_TELEMETRIA,,0
13187884,0,SIN_TELEMETRIA,,0
13176579,0,SIN_TELEMETRIA,,0
13182456,0,SIN_TELEMETRIA,,0
13157450,0,SIN_TELEMETRIA,,0
13157520,0,SIN_TELEMETRIA,,0
13154784,0,SIN_TELEMETRIA,,0
13149163,0,SIN_TELEMETRIA,,0
13137667,0,SIN_TELEMETRIA,,0
13133595,0,SIN_TELEMETRIA,,0
13130982,0,SIN_TELEMETRIA,,0
13124424,0,SIN_TELEMETRIA,,0
13101554,0,SIN_TELEMETRIA,,0
13101664,0,SIN_TELEMETRIA,,0
13074239,0,SIN_TELEMETRIA,,0
13075245,0,SIN_TELEMETRIA,,0
13073223,0,SIN_TELEMETRIA,,0
13062886,0,SIN_TELEMETRIA,,0
13062885,0,SIN_TELEMETRIA,,0
13062884,0,SIN_TELEMETRIA,,0
13062883,0,SIN_TELEMETRIA,,0
13062882,0,SIN_TELEMETRIA,,0
13053191,0,SIN_TELEMETRIA,,0
13053012,0,SIN_TELEMETRIA,,0
13042165,0,SIN_TELEMETRIA,,0
13039203,0,SIN_TELEMETRIA,,0
13035585,0,SIN_TELEMETRIA,,0
13024819,0,SIN_TELEMETRIA,,0
13027667,0,SIN_TELEMETRIA,,0
13025350,0,SIN_TELEMETRIA,,0
13026714,0,SIN_TELEMETRIA,,0
13025020,0,SIN_TELEMETRIA,,0
13021297,0,SIN_TELEMETRIA,,0
13021476,0,SIN_TELEMETRIA,,0
13012111,0,SIN_TELEMETRIA,,0
12999596,0,SIN_TELEMETRIA,,0
12984928,0,SIN_TELEMETRIA,,0
12984662,0,SIN_TELEMETRIA,,0
12984927,0,SIN_TELEMETRIA,,0
12993950,0,SIN_TELEMETRIA,,0
12993476,0,SIN_TELEMETRIA,,0
12961395,0,SIN_TELEMETRIA,,0
12962501,0,SIN_TELEMETRIA,,0
12963522,1,88D00F3D0D611A88F4AA42150055087D87DC6DA7A62150443D2093D41BEA84B2C395C8EE65D634,2025-12-14T10:37:32Z,39
12950005,0,SIN_TELEMETRIA,,0
12940442,0,SIN_TELEMETRIA,,0
12940540,0,SIN_TELEMETRIA,,0
12940536,0,SIN_TELEMETRIA,,0
12925683,0,SIN_TELEMETRIA,,0
12915401,0,SIN_TELEMETRIA,,0
12915384,0,SIN_TELEMETRIA,,0
12897254,0,SIN_TELEMETRIA,,0
12875688,0,SIN_TELEMETRIA,,0
12867462,0,SIN_TELEMETRIA,,0
12868944,0,SIN_TELEMETRIA,,0
12856696,0,SIN_TELEMETRIA,,0
12856786,0,SIN_TELEMETRIA,,0
12850984,0,SIN_TELEMETRIA,,0
12850998,0,SIN_TELEMETRIA,,0
12849538,0,SIN_TELEMETRIA,,0
12851402,0,SIN_TELEMETRIA,,0
12841411,0,SIN_TELEMETRIA,,0
12842248,0,SIN_TELEMETRIA,,0
12835874,0,SIN_TELEMETRIA,,0
12838940,0,SIN_TELEMETRIA,,0
12840803,1,808BB978CF727449887571EEA8CDCD69FE3372,2025-11-30T17:18:36Z,19
12840803,2,8ABC27E9548362CAB84980D3,2025-11-30T17:14:31Z,12
12832811,0,SIN_TELEMETRIA,,0
12832540,0,SIN_TELEMETRIA,,0
12828605,0,SIN_TELEMETRIA,,0
12825025,0,SIN_TELEMETRIA,,0
12823424,0,SIN_TELEMETRIA,,0
12825039,0,SIN_TELEMETRIA,,0
12819960,0,SIN_TELEMETRIA,,0
12817538,0,SIN_TELEMETRIA,,0
12817536,0,SIN_TELEMETRIA,,0
12817528,0,SIN_TELEMETRIA,,0
12815523,0,SIN_TELEMETRIA,,0
12808494,0,SIN_TELEMETRIA,,0
12812329,0,SIN_TELEMETRIA,,0
12803521,0,SIN_TELEMETRIA,,0
12807281,0,SIN_TELEMETRIA,,0
12803273,0,SIN_TELEMETRIA,,0
12802393,0,SIN_TELEMETRIA,,0
12803258,0,SIN_TELEMETRIA,,0
12802969,0,SIN_TELEMETRIA,,0
12797973,0,SIN_TELEMETRIA,,0
12793701,0,SIN_TELEMETRIA,,0
12793575,0,SIN_TELEMETRIA,,0
12790690,0,SIN_TELEMETRIA,,0
12784524,0,SIN_TELEMETRIA,,0
12780956,0,SIN_TELEMETRIA,,0
12775750,0,SIN_TELEMETRIA,,0
12779370,0,SIN_TELEMETRIA,,0
12775705,0,SIN_TELEMETRIA,,0
12772946,0,SIN_TELEMETRIA,,0
12768450,0,SIN_TELEMETRIA,,0
12768443,0,SIN_TELEMETRIA,,0
12768270,0,SIN_TELEMETRIA,,0
12762097,0,SIN_TELEMETRIA,,0
12762111,0,SIN_TELEMETRIA,,0
12757656,0,SIN_TELEMETRIA,,0
12759808,0,SIN_TELEMETRIA,,0
12758897,0,SIN_TELEMETRIA,,0
12756072,0,SIN_TELEMETRIA,,0
12758101,0,SIN_TELEMETRIA,,0
12755967,0,SIN_TELEMETRIA,,0
12755742,0,SIN_TELEMETRIA,,0
12755736,0,SIN_TELEMETRIA,,0
12748926,0,SIN_TELEMETRIA,,0
12749282,0,SIN_TELEMETRIA,,0
12748914,0,SIN_TELEMETRIA,,0
12749235,0,SIN_TELEMETRIA,,0
12747020,0,SIN_TELEMETRIA,,0
12745046,0,SIN_TELEMETRIA,,0
12744250,0,SIN_TELEMETRIA,,0
12745020,0,SIN_TELEMETRIA,,0
12742389,0,SIN_TELEMETRIA,,0
12739052,0,SIN_TELEMETRIA,,0
12739838,0,SIN_TELEMETRIA,,0
12739042,0,SIN_TELEMETRIA,,0
12733654,0,SIN_TELEMETRIA,,0
12732293,0,SIN_TELEMETRIA,,0
12732407,0,SIN_TELEMETRIA,,0
12733601,0,SIN_TELEMETRIA,,0
12731715,0,SIN_TELEMETRIA,,0
12728789,0,SIN_TELEMETRIA,,0
12729727,0,SIN_TELEMETRIA,,0
12721524,0,SIN_TELEMETRIA,,0
12720789,0,SIN_TELEMETRIA,,0
12719801,0,SIN_TELEMETRIA,,0
12714610,0,SIN_TELEMETRIA,,0
12710548,0,SIN_TELEMETRIA,,0
12702550,0,SIN_TELEMETRIA,,0
12705281,0,SIN_TELEMETRIA,,0
12696839,0,SIN_TELEMETRIA,,0
12690100,0,SIN_TELEMETRIA,,0
12689482,0,SIN_TELEMETRIA,,0
12690056,0,SIN_TELEMETRIA,,0
12687796,0,SIN_TELEMETRIA,,0
12685246,0,SIN_TELEMETRIA,,0
12685369,0,SIN_TELEMETRIA,,0
12681916,0,SIN_TELEMETRIA,,0
12674669,0,SIN_TELEMETRIA,,0
12673697,1,72DCB6A7F1D8E6325A6208873A9BBA289F9CD1A86D0E,2025-11-04T17:53:16Z,22
12665978,0,SIN_TELEMETRIA,,0
12665920,0,SIN_TELEMETRIA,,0
12667310,0,SIN_TELEMETRIA,,0
12658982,0,SIN_TELEMETRIA,,0
12656290,0,SIN_TELEMETRIA,,0
12654742,0,SIN_TELEMETRIA,,0
12648728,0,SIN_TELEMETRIA,,0
12652560,0,SIN_TELEMETRIA,,0
12647080,0,SIN_TELEMETRIA,,0
12640527,0,SIN_TELEMETRIA,,0
12636957,0,SIN_TELEMETRIA,,0
12636936,0,SIN_TELEMETRIA,,0
12636881,0,SIN_TELEMETRIA,,0
12636850,0,SIN_TELEMETRIA,,0
12634186,0,SIN_TELEMETRIA,,0
12633164,0,SIN_TELEMETRIA,,0
12630718,0,SIN_TELEMETRIA,,0
12627063,1,564A7DA27405E19ED71B2B75F0DF902649B4D4F7,2025-10-27T16:07:02Z,20
12627049,0,SIN_TELEMETRIA,,0
12622937,0,SIN_TELEMETRIA,,0
12623259,0,SIN_TELEMETRIA,,0
12617561,0,SIN_TELEMETRIA,,0
12622208,0,SIN_TELEMETRIA,,0
12616614,0,SIN_TELEMETRIA,,0
12617487,0,SIN_TELEMETRIA,,0
12616584,1,0C2D1FCD71AA92340FAEA0B92E807D1181,2025-10-24T19:31:52Z,17
12612992,0,SIN_TELEMETRIA,,0
12614382,0,SIN_TELEMETRIA,,0
12612969,0,SIN_TELEMETRIA,,0
12607845,0,SIN_TELEMETRIA,,0
12602381,0,SIN_TELEMETRIA,,0
12607255,0,SIN_TELEMETRIA,,0
12607263,0,SIN_TELEMETRIA,,0
12602380,0,SIN_TELEMETRIA,,0
12601969,0,SIN_TELEMETRIA,,0
12602370,0,SIN_TELEMETRIA,,0
12597146,0,SIN_TELEMETRIA,,0
12596718,0,SIN_TELEMETRIA,,0
12596557,0,SIN_TELEMETRIA,,0
12594675,0,SIN_TELEMETRIA,,0
12589934,0,SIN_TELEMETRIA,,0
12590408,0,SIN_TELEMETRIA,,0
12589887,0,SIN_TELEMETRIA,,0
12584790,0,SIN_TELEMETRIA,,0
12586717,0,SIN_TELEMETRIA,,0
12587323,0,SIN_TELEMETRIA,,0
12584559,0,SIN_TELEMETRIA,,0
12578749,0,SIN_TELEMETRIA,,0
12578746,0,SIN_TELEMETRIA,,0
12578737,0,SIN_TELEMETRIA,,0
12574346,0,SIN_TELEMETRIA,,0
12574696,0,SIN_TELEMETRIA,,0
12572320,0,SIN_TELEMETRIA,,0
12570135,0,SIN_TELEMETRIA,,0
12569958,0,SIN_TELEMETRIA,,0
12569766,0,SIN_TELEMETRIA,,0
12569819,0,SIN_TELEMETRIA,,0
12569946,0,SIN_TELEMETRIA,,0
12560431,0,SIN_TELEMETRIA,,0
12560430,0,SIN_TELEMETRIA,,0
12565764,0,SIN_TELEMETRIA,,0
12560418,0,SIN_TELEMETRIA,,0
12561512,0,SIN_TELEMETRIA,,0
12554728,0,SIN_TELEMETRIA,,0
12555137,0,SIN_TELEMETRIA,,0
12556204,0,SIN_TELEMETRIA,,0
12549222,0,SIN_TELEMETRIA,,0
12547878,0,SIN_TELEMETRIA,,0
12549181,0,SIN_TELEMETRIA,,0
12539288,0,SIN_TELEMETRIA,,0
12543766,0,SIN_TELEMETRIA,,0
12539284,0,SIN_TELEMETRIA,,0
12534261,0,SIN_TELEMETRIA,,0
12531247,0,SIN_TELEMETRIA,,0
12531127,0,SIN_TELEMETRIA,,0
12531117,0,SIN_TELEMETRIA,,0
12525387,0,SIN_TELEMETRIA,,0
12524608,0,SIN_TELEMETRIA,,0
12524624,0,SIN_TELEMETRIA,,0
12524623,0,SIN_TELEMETRIA,,0
12517758,0,SIN_TELEMETRIA,,0
12518156,0,SIN_TELEMETRIA,,0
12513522,0,SIN_TELEMETRIA,,0
12514061,0,SIN_TELEMETRIA,,0
12512419,0,SIN_TELEMETRIA,,0
12501615,0,SIN_TELEMETRIA,,0
12499577,0,SIN_TELEMETRIA,,0
12499150,0,SIN_TELEMETRIA,,0
12499136,0,SIN_TELEMETRIA,,0
12484816,0,SIN_TELEMETRIA,,0
12484815,0,SIN_TELEMETRIA,,0
12484814,0,SIN_TELEMETRIA,,0
12484813,0,SIN_TELEMETRIA,,0
12489333,0,SIN_TELEMETRIA,,0
12484812,0,SIN_TELEMETRIA,,0
12484811,0,SIN_TELEMETRIA,,0
12484810,0,SIN_TELEMETRIA,,0
12489053,0,SIN_TELEMETRIA,,0
12484809,0,SIN_TELEMETRIA,,0
12484808,0,SIN_TELEMETRIA,,0
12486405,0,SIN_TELEMETRIA,,0
12484807,0,SIN_TELEMETRIA,,0
12484806,0,SIN_TELEMETRIA,,0
12483959,0,SIN_TELEMETRIA,,0
12480992,0,SIN_TELEMETRIA,,0
12477417,0,SIN_TELEMETRIA,,0
12477415,0,SIN_TELEMETRIA,,0
12477445,0,SIN_TELEMETRIA,,0
12471725,0,SIN_TELEMETRIA,,0
12471574,0,SIN_TELEMETRIA,,0
12471564,0,SIN_TELEMETRIA,,0
12467072,0,SIN_TELEMETRIA,,0
12461935,0,SIN_TELEMETRIA,,0
12463708,0,SIN_TELEMETRIA,,0
12458173,0,SIN_TELEMETRIA,,0
12458111,0,SIN_TELEMETRIA,,0
12453131,0,SIN_TELEMETRIA,,0
12456822,0,SIN_TELEMETRIA,,0
12450874,0,SIN_TELEMETRIA,,0
12446424,0,SIN_TELEMETRIA,,0
12446682,0,SIN_TELEMETRIA,,0
12439194,0,SIN_TELEMETRIA,,0
12438798,0,SIN_TELEMETRIA,,0
12438840,0,SIN_TELEMETRIA,,0
