sat_id,norad_cat_id,transmitter,app_source,decoded,frame,observer,timestamp,version,observation_id,station_id,associated_satellites
IFDT-2351-8184-5400-1710,39090,,sids,,AD354E5D13EE9AE2187E0F83191844471C11893898B4,M7RED-KO96ce,2025-10-30T17:27:03Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,564A7DA27405E19ED71B2B75F0DF902649B4D4F7,Apomahon-KM18ub,2025-10-27T16:07:02Z,,12627063,6,[]
IFDT-2351-8184-5400-1710,39090,,network,,0C2D1FCD71AA92340FAEA0B92E807D1181,aUkHF-JN18cs,2025-10-24T19:31:52Z,,12616584,4236,[]
IFDT-2351-8184-5400-1710,39090,,sids,,E0CA8797D86D8447B1A420DF55AF43508EDDBE5EA3045345560A94055B80A2C0688232C6,M7RED-KO96ce,2025-10-11T03:37:21Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,FC4096B4A092E7D1257F1DF812A3B5171C271DF2802AC14521F6F4F2D4330548,M7RED-KO96ce,2025-10-01T02:54:55Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,804332CDD786E7F895625F38324F,SM0TGU - VHF UHF-JO89wk,2025-09-22T17:07:00Z,,12427085,858,[]
IFDT-2351-8184-5400-1710,39090,,sids,,971377B8939D5A255CD051624E24EB791D1476BB3861,VU3IPU-MK82sx,2025-09-21T23:52:28Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,3CD2CC56991709CA5BDF399488950A2B41C25B4C6C5E54459677190E38E0016BE70A1285BCDC0C9AD2C074,PU4ELT-GH70qd,2025-09-19T20:54:04Z,,12407372,3538,[]
IFDT-2351-8184-5400-1710,39090,,network,,E0F218B42A82A5AB,PU4ELT-GH70qd,2025-09-19T20:53:00Z,,12407372,3538,[]
IFDT-2351-8184-5400-1710,39090,,network,,C0C3E4,PU4ELT-GH70qd,2025-09-19T20:51:30Z,,12407372,3538,[]
IFDT-2351-8184-5400-1710,39090,,sids,,2D123A78CF8590D1BC695B3767D53E8A76CF3B593A666639849C,VU3IPU-MK82sx,2025-09-13T23:39:48Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,356E102AA0653726A2D534C496AB4B7F5AE0,VU3IPU-MK82sx,2025-09-02T12:37:30Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,78D13E71727A75C75101BDF9A5632527C3D539A421C40E3353AFB78116A41B1222740A7882F298EBD96963A0266EEF095AF6204A6FEAA2B71AA3C1C5880E26,SWLJO21JN-JO21jn,2025-08-30T03:55:00Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,DC0E0DEAED64A47618B4E78AD3CBAA76030A12,IU0JIW-JN61hl,2025-08-28T03:18:14Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,9D48AAB7F12A38746CED6D89ACA64196CFAAA753F5C8EC08B5,SWLJO21JN-JO21jn,2025-08-27T05:37:24Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,6FC20A1D,F4TNK-UHF-JN23at,2025-08-24T17:56:58Z,,12251840,3762,[]
IFDT-2351-8184-5400-1710,39090,,network,,F06FCE719E807AA4378D6A,F4TNK-UHF-JN23at,2025-08-24T17:55:26Z,,12251840,3762,[]
IFDT-2351-8184-5400-1710,39090,,network,,8E3B,YL3CT-2-KO26iu,2025-08-24T17:52:02Z,,12252176,3953,[]
IFDT-2351-8184-5400-1710,39090,,sids,,70EE7E8B905F0085B1BFB797F532914F948B,M7RED-LO33sr,2025-08-14T01:49:48Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,B056DE4937016DC846E092000CA7F987A423222E5FBF4007400C6FC6CC3D6A21F01590CCAC0A88422C9C,M7RED-LO33sr,2025-08-12T02:59:02Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,EBC439A943B0156AED404CCDED259556D8391DCD782D91A35006E9,M7RED-KO96ce,2025-08-04T02:49:38Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,7AFFF6B02C7E3671390E8AA89C02554C884E56,M7RED-KO96ce,2025-08-03T17:08:15Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,CC715D3F9238634AF2330685EE4147C1B5CBAEACCE698808515718322337B4865C36,Apomahon-KM18ub,2025-08-01T16:44:19Z,,12093196,6,[]
IFDT-2351-8184-5400-1710,39090,,sids,,062E8DA0FC5322409A83DAD273544E99965252E93B5478,IU0JIW-JN61hl,2025-08-01T04:31:29Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,C1057EAE814C07FA338BB4E6CBF45BB83251,IU0JIW-JN61hl,2025-07-24T04:23:35Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,DB7A651D7945A3EC92BC180F3D9D88166547FAE53804,IU0JIW-JN61hl,2025-07-21T04:32:42Z,1.0,,,[]
